timestamp,kkr,alk,f,ge,ibm,celg,m,S&P500
2000-01-03,,,52.38,150.0,116.0,67.69,50.38,65.94
2000-01-04,,,50.63,144.0,112.06,62.25,48.94,63.75
2000-01-05,,,50.81,143.75,116.0,63.22,49.5,65.38
2000-01-06,,,50.88,145.67,114.0,61.5,49.44,63.38
2000-01-07,,,54.63,151.31,113.5,61.0,50.81,63.94
2000-01-10,,,53.63,151.25,118.0,61.13,52.38,64.75
2000-01-11,,,52.19,151.5,119.0,58.38,50.69,59.94
2000-01-12,,,53.69,152.0,119.5,56.75,50.56,63.38
2000-01-13,,,53.06,153.75,118.25,59.63,51.25,65.44
2000-01-14,,,51.75,151.0,119.62,63.63,47.88,65.5
2000-01-18,,,54.25,148.0,115.75,63.69,47.94,64.12
2000-01-19,,,53.44,148.72,119.5,63.0,47.81,64.25
2000-01-20,,,52.22,145.94,119.0,67.25,46.26,61.56
2000-01-21,,,50.44,144.13,121.5,64.88,43.88,61.75
2000-01-24,,,51.13,138.13,121.5,68.25,41.25,61.75
2000-01-25,,,50.13,138.5,119.12,67.25,43.06,61.75
2000-01-26,,,48.0,141.44,116.75,80.5,45.0,61.12
2000-01-27,,,49.94,141.75,113.5,75.5,42.69,60.06
2000-01-28,,,49.0,134.0,111.56,73.25,41.63,60.25
2000-01-31,,,49.75,134.0,112.25,69.75,41.63,64.62
2000-02-01,,,49.81,136.0,110.0,71.63,42.13,63.38
2000-02-02,,,48.63,134.06,113.5,75.0,42.81,61.88
2000-02-03,,,48.75,139.25,117.12,77.38,41.31,60.88
2000-02-04,,,48.06,141.56,115.62,91.13,39.94,60.5
2000-02-07,,,47.94,136.5,114.12,95.69,37.31,63.12
2000-02-08,,,48.13,137.06,118.81,99.75,38.88,65.25
2000-02-09,,,47.19,134.06,117.37,107.5,37.94,62.88
2000-02-10,,,47.0,135.44,119.12,103.0,37.69,64.5
2000-02-11,,,46.13,133.75,115.37,118.4,36.94,63.75
2000-02-14,,,47.06,134.38,116.06,115.9,36.81,64.5
2000-02-15,,,46.38,137.5,117.12,113.8,37.94,65.12
2000-02-16,,,46.31,135.66,115.75,134.0,35.69,64.62
2000-02-17,,,45.88,131.0,116.75,143.0,34.31,65.69
2000-02-18,,,43.38,125.12,112.5,137.0,33.81,63.25
2000-02-22,,,44.06,129.63,111.0,135.0,35.0,62.75
2000-02-23,,,43.0,130.5,108.75,140.8,34.19,61.12
2000-02-24,,,42.5,131.0,110.5,139.9,32.44,59.0
2000-02-25,,,42.94,126.12,108.0,142.2,32.56,58.06
2000-02-28,,,42.69,129.44,104.5,159.0,35.25,58.56
2000-02-29,,,41.63,132.38,102.75,165.5,36.69,61.0
2000-03-01,,,41.59,131.38,100.25,165.8,36.31,62.62
2000-03-02,,,41.38,135.25,103.12,170.0,36.44,63.0
2000-03-03,,,42.69,139.38,108.0,180.0,36.13,63.69
2000-03-06,,,41.94,137.44,103.06,184.1,34.44,64.31
2000-03-07,,,41.13,129.94,103.0,177.6,33.0,62.12
